EmployeeID,FirstName,LastName,Gender,Age,Department,JobRole,Education,MaritalStatus,Salary,Experience,JoiningDate,PerformanceRating,Attrition,Overtime,WorkMode,State,Manager,AgeGroup,SalaryBand,ExperienceLevel,Tenure,JoiningYear
EMP00001,Nikhil,Gupta,Male,25,Operations,Operations Executive,Bachelor,Single,522098,0,2016-12-13,3,Yes,Yes,Office,Telangana,N. Gupta,21-30,Medium,Fresher,9.6,2016
EMP00002,Rahul,Das,Female,41,Marketing,Marketing Executive,MBA,Married,1116426,17,2015-02-23,5,No,Yes,Office,Telangana,A. Sharma,41-50,High,Senior,11.4,2015
EMP00003,Varun,Reddy,Female,34,HR,HR Executive,Bachelor,Divorced,887052,12,2025-04-21,4,No,No,Hybrid,Kerala,K. Singh,31-40,High,Senior,1.2,2025
EMP00004,Ananya,Yadav,Male,42,Marketing,Digital Marketer,Diploma,Married,1089116,18,2016-10-15,2,No,No,Hybrid,Delhi,A. Sharma,41-50,High,Senior,9.7,2016
EMP00005,Rahul,Naidu,Female,35,IT,QA Engineer,MBA,Divorced,1039993,11,2020-06-28,2,Yes,No,Remote,Maharashtra,S. Reddy,31-40,High,Senior,6,2020
EMP00006,Kiran,Kapoor,Female,25,Operations,Operations Manager,Diploma,Divorced,529207,1,2022-01-21,4,Yes,No,Hybrid,Telangana,A. Sharma,21-30,Medium,Fresher,4.5,2022
EMP00007,Sai,Rao,Female,46,IT,Senior Developer,Bachelor,Single,1249438,17,2019-12-02,5,No,No,Office,Telangana,K. Singh,41-50,Very High,Senior,6.6,2019
EMP00008,Varun,Yadav,Male,41,IT,System Admin,Bachelor,Divorced,1335432,19,2020-08-21,5,No,No,Remote,Kerala,A. Sharma,41-50,Very High,Senior,5.9,2020
EMP00009,Meera,Mishra,Male,28,Operations,Operations Manager,Bachelor,Divorced,651985,3,2020-11-27,3,No,No,Hybrid,Kerala,K. Singh,21-30,Medium,Junior,5.6,2020
EMP00010,Neha,Nair,Female,30,Marketing,Marketing Executive,Master,Single,611174,4,2017-07-05,2,No,No,Office,Maharashtra,R. Mehta,21-30,Medium,Junior,9,2017
EMP00011,Priya,Rao,Female,31,HR,HR Manager,Master,Divorced,506483,2,2018-09-14,3,No,No,Remote,Delhi,S. Reddy,31-40,Medium,Fresher,7.8,2018
EMP00012,Aarav,Joshi,Male,38,Operations,Operations Manager,Master,Single,967422,12,2022-08-01,5,Yes,Yes,Office,Delhi,K. Singh,31-40,High,Senior,3.9,2022
EMP00013,Kiran,Rao,Male,23,HR,HR Executive,Diploma,Single,533309,2,2025-11-20,2,No,No,Hybrid,Kerala,P. Rao,21-30,Medium,Fresher,0.6,2025
EMP00014,Arjun,Sharma,Female,30,IT,Software Engineer,MBA,Single,771438,3,2016-03-19,5,No,No,Office,Telangana,S. Reddy,21-30,Medium,Junior,10.3,2016
EMP00015,Pooja,Mishra,Male,31,Marketing,Digital Marketer,Bachelor,Divorced,614050,4,2016-09-09,4,No,No,Remote,Kerala,R. Mehta,31-40,Medium,Junior,9.8,2016
EMP00016,Rahul,Gupta,Male,32,HR,HR Executive,Diploma,Married,658653,5,2016-04-25,5,No,Yes,Hybrid,Karnataka,P. Rao,31-40,Medium,Junior,10.2,2016
EMP00017,Aisha,Sharma,Male,28,Operations,Operations Manager,Diploma,Divorced,668890,4,2016-05-14,3,No,No,Remote,Telangana,R. Mehta,21-30,Medium,Junior,10.1,2016
EMP00018,Nikhil,Verma,Male,27,Marketing,Marketing Executive,Bachelor,Married,702992,5,2017-09-09,2,No,No,Remote,Maharashtra,N. Gupta,21-30,Medium,Junior,8.8,2017
EMP00019,Pooja,Singh,Male,32,Marketing,Digital Marketer,Bachelor,Married,771180,8,2021-09-23,3,Yes,Yes,Remote,Maharashtra,R. Mehta,31-40,Medium,Mid-Level,4.8,2021
EMP00020,Sneha,Patel,Female,41,HR,HR Executive,MBA,Divorced,997361,16,2023-04-16,4,No,No,Remote,Maharashtra,R. Mehta,41-50,High,Senior,3.2,2023
EMP00021,Priya,Kumar,Male,26,Operations,Operations Manager,MBA,Single,629664,3,2018-06-27,2,No,No,Remote,Delhi,A. Sharma,21-30,Medium,Junior,8,2018
EMP00022,Sai,Kapoor,Female,29,Marketing,Digital Marketer,Master,Divorced,742097,8,2022-06-25,5,Yes,No,Hybrid,Maharashtra,K. Singh,21-30,Medium,Mid-Level,4,2022
EMP00023,Suresh,Patel,Male,25,Sales,Sales Executive,MBA,Married,594536,3,2018-04-28,2,No,No,Office,Karnataka,S. Reddy,21-30,Medium,Junior,8.2,2018
